date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:40	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Dec%202024%2017:00:41%20GMT	https://baseddoge.meme/robots.txt		(from )
12:00:41	88355/88355	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2011:57:29%20GMT	https://baseddoge.meme/	D:/baseddoge/BASEDDOGE/baseddoge.meme/index.html	(from )
12:00:41	1046/1046	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2017:59:57%20GMT	https://baseddoge.meme/feed/index.html	D:/baseddoge/BASEDDOGE/baseddoge.meme/feed/index.html	(from https://baseddoge.meme/)
12:00:42	700/700	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2017:59:59%20GMT	https://baseddoge.meme/comments/feed/index.html	D:/baseddoge/BASEDDOGE/baseddoge.meme/comments/feed/index.html	(from https://baseddoge.meme/)
12:00:43	58957/58957	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20May%202024%2017:59:59%20GMT	https://baseddoge.meme/wp-content/plugins/layout-grid/style9180.css?ver=1691629550	D:/baseddoge/BASEDDOGE/baseddoge.meme/wp-content/plugins/layout-grid/style91809180.css	(from https://baseddoge.meme/)
12:00:43	127491/127491	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20May%202024%2017:59:59%20GMT	https://baseddoge.meme/wp-content/themes/seedlet/style6338.css?ver=1.2.10-wpcom	D:/baseddoge/BASEDDOGE/baseddoge.meme/wp-content/themes/seedlet/style63386338.css	(from https://baseddoge.meme/)
12:00:44	3892/3892	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20May%202024%2017:59:59%20GMT	https://baseddoge.meme/wp-content/themes/seedlet/assets/css/print6338.css?ver=1.2.10-wpcom	D:/baseddoge/BASEDDOGE/baseddoge.meme/wp-content/themes/seedlet/assets/css/print63386338.css	(from https://baseddoge.meme/)
12:00:44	130/130	---M--	200	added ('OK')	text/css	date:Fri,%2010%20May%202024%2017:59:59%20GMT	https://baseddoge.meme/wp-content/themes/seedlet/assets/css/custom-color-overrides6338.css?ver=1.2.10-wpcom	D:/baseddoge/BASEDDOGE/baseddoge.meme/wp-content/themes/seedlet/assets/css/custom-color-overrides63386338.css	(from https://baseddoge.meme/)
12:00:44	19802/19802	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20May%202024%2017:59:58%20GMT	https://baseddoge.meme/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css?ver=5.29.0	D:/baseddoge/BASEDDOGE/baseddoge.meme/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54bd54b.css	(from https://baseddoge.meme/)
12:00:45	118630/118630	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20May%202024%2017:59:58%20GMT	https://baseddoge.meme/wp-content/plugins/elementor/assets/css/frontend-lite.min7329.css?ver=3.20.2	D:/baseddoge/BASEDDOGE/baseddoge.meme/wp-content/plugins/elementor/assets/css/frontend-lite.min73297329.css	(from https://baseddoge.meme/)
12:00:45	16471/16471	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20May%202024%2017:59:58%20GMT	https://baseddoge.meme/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css?ver=8.4.5	D:/baseddoge/BASEDDOGE/baseddoge.meme/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a494a4.css	(from https://baseddoge.meme/)
12:00:46	1877/1877	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Dec%202024%2011:43:24%20GMT	https://baseddoge.meme/wp-content/uploads/elementor/css/post-9606d.css?ver=1710957256	D:/baseddoge/BASEDDOGE/baseddoge.meme/wp-content/uploads/elementor/css/post-9606d606d.css	(from https://baseddoge.meme/)
